#RUNE,Orris_eth,1652261964456894464,https://twitter.com/OxTolliverBTC/status/1652261964456894464,2023-04-29 10:42:04+00:00,"Trending #Thorchain News 🤓

Unizen (ZCX) enters into a strategic partnership with Thorchain (RUNE)

#cryptonews #crypto #cryptocurrency $RUNE #RUNE

Follow for more 👇 https://t.co/qztVlEuyUf",361678193,128,1,0
#RUNE,Someone Somewhere,1652259382762037248,https://twitter.com/gimmesomepie/status/1652259382762037248,2023-04-29 10:31:49+00:00,"RT @95MoonGirl: Last Trade #Signal    
    
#RUNE    43.31%
$BAKE    78.57%
#BNB    39.68%
$ADA    79.66%
$LUNC    55.19%
$YFI    42.98%
$E…",120412281,23,0,1
#RUNE,Trend Maker,1652258935242473473,https://twitter.com/Trend22Maker/status/1652258935242473473,2023-04-29 10:30:02+00:00,"Last Trade #Signal    
    
#RUNE    43.31%
$BAKE    78.57%
#BNB    39.68%
$ADA    79.66%
$LUNC    55.19%
$YFI    42.98%
$ETC    5.44%
#CRV    49.96%
#BTC    89.71%
$EOS    67.08%
    
All Details on Bio  Total Profit   551.57%",1599163311635013632,34,0,0
#RUNE,Arta,1652258934667849729,https://twitter.com/Arta45872635/status/1652258934667849729,2023-04-29 10:30:02+00:00,"Last Trade #Signal    
    
#RUNE    43.31%
$BAKE    78.57%
#BNB    39.68%
$ADA    79.66%
$LUNC    55.19%
$YFI    42.98%
$ETC    5.44%
#CRV    49.96%
#BTC    89.71%
$EOS    67.08%
    
All Details on Bio  Total Profit   551.57%",1548657777651884032,148,1,0
#RUNE,Moon Girl 💃,1652258934550323202,https://twitter.com/95MoonGirl/status/1652258934550323202,2023-04-29 10:30:02+00:00,"Last Trade #Signal    
    
#RUNE    43.31%
$BAKE    78.57%
#BNB    39.68%
$ADA    79.66%
$LUNC    55.19%
$YFI    42.98%
$ETC    5.44%
#CRV    49.96%
#BTC    89.71%
$EOS    67.08%
    
All Details on Bio  Total Profit   551.57%",1473932145286692865,285,1,1
#RUNE,Trading Sweetie 🦋,1652258933610889219,https://twitter.com/Trading_Sweetie/status/1652258933610889219,2023-04-29 10:30:01+00:00,"Last Trade #Signal    
    
#RUNE    43.31%
$BAKE    78.57%
#BNB    39.68%
$ADA    79.66%
$LUNC    55.19%
$YFI    42.98%
$ETC    5.44%
#CRV    49.96%
#BTC    89.71%
$EOS    67.08%
    
All Details on Bio  Total Profit   551.57%",1516430595060084743,501,1,0
#RUNE,XDC Network Retweet 🤖,1652243171139624960,https://twitter.com/XDCReTweet/status/1652243171139624960,2023-04-29 09:27:23+00:00,"RT @MURALIE622: I finally achieved what I wanted.
https://t.co/NINXxMSIEd
#polkadot #holo $xdc $drep $dash $xtz #zec $pltr $mkr $iost $btt…",1515248514112303108,335,0,1
#RUNE,XDC Network Retweet 🤖,1652243167771541504,https://twitter.com/XDCReTweet/status/1652243167771541504,2023-04-29 09:27:23+00:00,"RT @MURALIE622: I finally achieved what I wanted.

https://t.co/NINXxMSIEd
#polkadot #holo $xdc $drep $dash $xtz #zec $pltr $mkr $iost $btt…",1515248514112303108,335,0,1
#RUNE,XDC Network Retweet 🤖,1652243164386799616,https://twitter.com/XDCReTweet/status/1652243164386799616,2023-04-29 09:27:22+00:00,"RT @MURALIE622: I finally achieved what I wanted.
https://t.co/NINXxMSIEd
#polkadot #holo $xdc $drep $dash $xtz #zec $pltr $mkr $iost $btt…",1515248514112303108,335,0,1
#RUNE,MURALIE,1652243085848616961,https://twitter.com/MURALIE622/status/1652243085848616961,2023-04-29 09:27:03+00:00,"I finally achieved what I wanted.
https://t.co/NINXxMSIEd
#polkadot #holo $xdc $drep $dash $xtz #zec $pltr $mkr $iost $btt $aave $mana $ksp $dnt $itrm $gme $vib #safemoon $snx  $ltx 
$btcx $dawgs  $skl #bzrx $celo $perp $btg $xvg $ren $nio $zrx $amc $band $nmr  #rune $bnx https://t.co/8Z4ef75xfV",1439645784966828040,257,0,1
#RUNE,MURALIE,1652242902368804864,https://twitter.com/MURALIE622/status/1652242902368804864,2023-04-29 09:26:19+00:00,"I finally achieved what I wanted.

https://t.co/NINXxMSIEd
